ticker,name,latest_close,ma20,high_20,high_50,latest_volume,avg_volume_20,volume_ratio,rsi_14,atr_14,atr_pct,within_2pct_of_20d_high,within_5pct_of_50d_high,above_ma20,elevated_volume,rsi_bullish,atr_reasonable,confirmed_breakout,breakout_ready,pre_breakout,breakout_type,setup_score,setup_status,checked_at,market_regime,adjusted_setup_score,adjusted_setup_status,extension_pct,high_atr_risk,overextended,low_liquidity,risk_flag_count,risk_decision,risk_notes,checked_at_risk
CVX,Chevron,211.15,196.91,211.15,211.15,13894100,15304345,0.91,84.36,4.42,2.09,True,True,True,False,True,True,False,True,True,breakout_ready,5,actionable,2026-03-28T15:05:26.718360+00:00,risk_off,4,watch,7.23,False,False,False,0,approved,clear,2026-03-28T15:05:43.621166+00:00
T,AT&T,29.1,28.21,29.1,29.1,38160500,44482660,0.86,71.39,0.6,2.08,True,True,True,False,True,True,False,True,True,breakout_ready,5,actionable,2026-03-28T15:05:27.085254+00:00,risk_off,4,watch,3.15,False,False,False,0,approved,clear,2026-03-28T15:05:43.621166+00:00
PFE,Pfizer,27.04,27.01,27.57,27.73,29039300,41483540,0.7,52.69,0.65,2.39,True,True,True,False,False,True,False,True,True,breakout_ready,4,watch,2026-03-28T15:05:28.428951+00:00,risk_off,3,watch,0.11,False,False,False,0,approved,clear,2026-03-28T15:05:43.621166+00:00
XOM,Exxon Mobil,170.99,156.76,170.99,170.99,30296400,24407250,1.24,82.26,4.13,2.41,True,True,True,True,True,True,True,True,True,confirmed_breakout,6,actionable,2026-03-28T15:05:27.464170+00:00,risk_off,5,actionable,9.08,False,True,False,1,caution,overextended,2026-03-28T15:05:43.621166+00:00
