position_id,ticker,exit_action,reason,status,exit_reason,current_price,stop_loss,take_profit,pnl_abs,pnl_pct,generated_at,run_id
POS001,CVX,hold,No exit condition met.,hold,,199.1898956298828,,,43.93989562988281,28.302670293000205,2026-03-28T15:05:47.497703+00:00,RUN_20260328T150449Z
POS_2B991A300C,NVDA,hold,Position already closed.,no_action,already_closed,910.0,,,0.0,0.0,2026-03-28T15:05:47.497748+00:00,RUN_20260328T150449Z
