ticker,name,latest_close,ma50,above_ma50
SPY,SPDR S&P 500 ETF Trust,648.57,682.06,False
QQQ,Invesco QQQ Trust,582.06,610.95,False
^VIX,CBOE Volatility Index,25.57,20.15,True
