ticker,name,latest_close,ma20,ma50,return_20d_pct,return_60d_pct,volatility_20d_pct,above_ma20,above_ma50,ma20_above_ma50,positive_20d_return,positive_60d_return,acceptable_volatility,score,lead_status,checked_at
NVDA,Nvidia,183.22,184.97,185.39,0.23,3.1,2.23,False,False,False,True,True,True,3,watch,2026-03-17T11:05:13.894387+00:00
PANW,Palo Alto Networks,167.45,156.79,169.69,0.3,-10.5,2.45,True,False,False,True,False,True,3,watch,2026-03-17T11:05:19.877174+00:00
PLTR,Palantir,152.72,143.85,153.35,16.22,-18.66,2.35,True,False,False,True,False,True,3,watch,2026-03-17T11:05:20.524541+00:00
PYPL,PayPal,45.42,44.95,48.92,13.07,-25.72,2.55,True,False,False,True,False,True,3,watch,2026-03-17T11:05:21.915949+00:00
ROKU,Roku,95.18,94.26,98.25,5.69,-14.32,3.26,True,False,False,True,False,True,3,watch,2026-03-17T11:05:43.251261+00:00
SHOP,Shopify,126.58,124.52,134.22,12.32,-22.41,3.69,True,False,False,True,False,True,3,watch,2026-03-17T11:05:21.565873+00:00
TXN,Texas Instruments,194.13,206.6,204.43,-14.16,10.05,1.68,False,False,True,False,True,True,3,watch,2026-03-17T11:05:18.803393+00:00
UBER,Uber,74.66,73.85,77.78,6.67,-7.74,1.99,True,False,False,True,False,True,3,watch,2026-03-17T11:05:21.192508+00:00
AAPL,Apple,252.82,262.6,262.2,-1.16,-7.85,1.52,False,False,True,False,False,True,2,watch,2026-03-17T11:05:13.163602+00:00
ABBV,AbbVie,221.45,228.39,224.11,-4.34,-0.2,1.41,False,False,True,False,False,True,2,watch,2026-03-17T11:05:29.104088+00:00
BA,Boeing,213.47,225.96,234.21,-12.14,3.27,2.13,False,False,False,False,True,True,2,watch,2026-03-17T11:05:31.614507+00:00
BRK-B,Berkshire Hathaway,492.21,494.76,493.44,-1.07,-1.53,1.45,False,False,True,False,False,True,2,watch,2026-03-17T11:05:27.037035+00:00
CRWD,CrowdStrike,423.84,405.83,428.5,-1.35,-13.24,3.92,True,False,False,False,False,True,2,watch,2026-03-17T11:05:20.203467+00:00
GOOGL,Alphabet,305.56,306.04,318.61,0.02,-0.26,1.47,False,False,False,True,False,True,2,watch,2026-03-17T11:05:15.228311+00:00
ORCL,Oracle,155.97,151.93,165.69,-2.6,-17.1,3.32,True,False,False,False,False,True,2,watch,2026-03-17T11:05:17.713504+00:00
RCL,Royal Caribbean,280.81,297.06,302.16,-11.67,0.62,3.06,False,False,False,False,True,True,2,watch,2026-03-17T11:05:40.065020+00:00
SNOW,Snowflake,174.4,173.22,189.66,-4.33,-20.94,3.39,True,False,False,False,False,True,2,watch,2026-03-17T11:05:20.854576+00:00
UNH,UnitedHealth,285.49,284.76,301.25,-1.87,-13.91,1.78,True,False,False,False,False,True,2,watch,2026-03-17T11:05:28.732414+00:00
AAL,American Airlines,10.49,12.36,13.83,-24.42,-34.4,3.4,False,False,False,False,False,True,1,reject,2026-03-17T11:05:41.123493+00:00
ADBE,Adobe,251.86,264.76,284.39,-4.59,-27.6,2.66,False,False,False,False,False,True,1,reject,2026-03-17T11:05:16.955172+00:00
AMD,Advanced Micro Devices,196.58,200.69,215.77,-5.18,-6.02,3.4,False,False,False,False,False,True,1,reject,2026-03-17T11:05:15.549421+00:00
AVGO,Broadcom,324.92,329.42,332.64,-0.08,-4.62,2.21,False,False,False,False,False,True,1,reject,2026-03-17T11:05:16.596200+00:00
AXP,American Express,298.2,317.09,343.44,-11.64,-21.51,2.69,False,False,False,False,False,True,1,reject,2026-03-17T11:05:26.684445+00:00
BAC,Bank of America,47.06,49.89,52.22,-9.94,-13.65,1.81,False,False,False,False,False,True,1,reject,2026-03-17T11:05:25.148976+00:00
CELH,Celsius Holdings,43.61,46.63,49.41,-2.39,1.07,4.12,False,False,False,False,True,False,1,reject,2026-03-17T11:05:48.100472+00:00
