ticker,name,sector,market_regime,adjusted_setup_score,risk_decision,risk_notes,risk_budget_pct,stop_loss_pct,raw_position_size_pct,scaled_target_allocation_pct,headline_count,categories_found,has_news,portfolio_checked_at
ARM,Arm Holdings,Technology,risk_off,5,approved,clear,0.3,9.4,3.19,8.42,10,other,True,2026-03-23T11:58:58.052366+00:00
XOM,Exxon Mobil,Energy,risk_off,5,approved,clear,0.3,4.78,6.28,16.58,10,other,True,2026-03-23T11:58:58.052366+00:00
