ticker,name,latest_close,ma20,high_20,high_50,latest_volume,avg_volume_20,volume_ratio,rsi_14,atr_14,atr_pct,within_2pct_of_20d_high,within_5pct_of_50d_high,above_ma20,elevated_volume,rsi_bullish,atr_reasonable,confirmed_breakout,breakout_ready,pre_breakout,breakout_type,setup_score,setup_status,checked_at,market_regime,adjusted_setup_score,adjusted_setup_status
ARM,Arm Holdings,132.35,123.71,132.35,132.35,12353954,4274767,2.89,59.15,6.23,4.7,True,True,True,True,True,True,True,True,True,confirmed_breakout,6,actionable,2026-03-23T11:58:34.253739+00:00,risk_off,5,actionable
CVX,Chevron,201.73,191.38,201.73,201.73,35212344,14114142,2.49,72.57,4.07,2.02,True,True,True,True,True,True,True,True,True,confirmed_breakout,6,actionable,2026-03-23T11:58:34.634561+00:00,risk_off,5,actionable
XOM,Exxon Mobil,159.67,152.96,159.67,159.67,27751863,21803963,1.27,61.93,3.81,2.39,True,True,True,True,True,True,True,True,True,confirmed_breakout,6,actionable,2026-03-23T11:58:35.802918+00:00,risk_off,5,actionable
