ticker,name,latest_close,ma20,high_20,high_50,latest_volume,avg_volume_20,volume_ratio,rsi_14,atr_14,atr_pct,within_2pct_of_20d_high,within_5pct_of_50d_high,above_ma20,elevated_volume,rsi_bullish,atr_reasonable,confirmed_breakout,breakout_ready,pre_breakout,breakout_type,setup_score,setup_status,checked_at,market_regime,adjusted_setup_score,adjusted_setup_status,extension_pct,high_atr_risk,overextended,low_liquidity,risk_flag_count,risk_decision,risk_notes,checked_at_risk
NET,Cloudflare,212.45,188.66,213.0,213.0,2297292,4231999,0.54,91.34,9.44,4.45,True,True,True,False,True,True,False,True,True,breakout_ready,5,actionable,2026-03-15T17:25:37.684614+00:00,risk_off,4,watch,12.61,False,True,False,1,caution,overextended,2026-03-15T17:25:57.061164+00:00
CRWD,CrowdStrike,441.78,406.12,442.03,478.91,2227117,5268230,0.42,91.26,18.66,4.22,True,False,True,False,True,True,False,True,False,breakout_ready,4,watch,2026-03-15T17:25:43.017954+00:00,risk_off,3,watch,8.78,False,True,False,1,caution,overextended,2026-03-15T17:25:57.061164+00:00
